#Compound	C.ring	C.other	N.ring	N.other	O.ring	O.other	P	S	X	#.of.Ring
cav1m17_AQ4-ZINC08936972-0.pdb	16	1	3	0	1	3	0	0	1	5
cav1m17_AQ4-ZINC08964161-0.pdb	18	7	2	2	0	2	0	0	0	4
cav1m17_AQ4-ZINC08964170-0.pdb	17	5	2	2	0	2	0	0	0	5
cav1m17_AQ4-ZINC08964821-0.pdb	22	4	2	0	1	3	0	0	1	5
cav1m17_AQ4-ZINC08971260-0.pdb	14	0	3	1	0	1	0	0	1	3
cav1m17_AQ4-ZINC08971866-0.pdb	27	4	3	0	0	3	0	0	0	7
cav1m17_AQ4-ZINC08971871-0.pdb	27	4	3	0	0	3	0	0	0	7
cav1m17_AQ4-ZINC08990694-0.pdb	17	7	0	1	1	1	0	0	0	3
cav1m17_AQ4-ZINC08994971-0.pdb	15	13	1	3	1	3	0	0	0	3
cav1m17_AQ4-ZINC09018582-0.pdb	14	3	5	0	0	2	0	1	0	4
cav1m17_AQ4-ZINC09056431-0.pdb	16	6	3	2	1	3	0	2	0	4
cav1m17_AQ4-ZINC09060294-0.pdb	12	9	2	1	1	3	0	0	1	3
cav1m17_AQ4-ZINC09064940-0.pdb	12	7	0	3	0	3	0	1	1	2
cav1m17_AQ4-ZINC09088216-0.pdb	24	6	3	0	0	3	0	0	0	6
cav1m17_AQ4-ZINC09102561-0.pdb	12	11	4	1	0	3	0	1	1	3
cav1m17_AQ4-ZINC09102572-0.pdb	12	11	4	1	0	3	0	1	1	3
cav1m17_AQ4-ZINC09135429-0.pdb	15	10	1	3	0	2	0	0	0	3
cav1m17_AQ4-ZINC09135450-0.pdb	15	9	1	3	0	2	0	0	0	3
cav1m17_AQ4-ZINC09135773-0.pdb	19	7	2	2	0	2	0	0	0	4
cav1m17_AQ4-ZINC09137785-0.pdb	18	0	3	0	0	2	0	0	1	5
cav1m17_AQ4-ZINC09138447-0.pdb	20	7	2	2	0	2	0	0	0	4
cav1m17_AQ4-ZINC09139221-0.pdb	8	9	3	2	0	2	0	1	1	2
cav1m17_AQ4-ZINC09169221-0.pdb	15	5	1	1	1	5	0	1	0	3
cav1m17_AQ4-ZINC09169228-0.pdb	15	5	1	1	1	4	0	1	0	3
cav1m17_AQ4-ZINC09173954-0.pdb	15	5	1	1	1	5	0	1	0	3
cav1m17_AQ4-ZINC09197429-0.pdb	16	5	4	1	0	3	0	1	0	4
cav1m17_AQ4-ZINC09208669-0.pdb	23	2	4	0	0	3	0	0	0	5
cav1m17_AQ4-ZINC09208673-0.pdb	23	2	4	0	0	3	0	0	0	5
cav1m17_AQ4-ZINC09265800-0.pdb	15	3	2	2	0	4	0	2	0	3
cav1m17_AQ4-ZINC09274026-0.pdb	18	5	1	2	1	3	0	0	0	4
cav1m17_AQ4-ZINC09276831-0.pdb	14	6	4	1	0	2	0	3	0	4
cav1m17_AQ4-ZINC09306751-0.pdb	22	1	1	0	2	4	0	1	0	6
cav1m17_AQ4-ZINC09309420-0.pdb	21	5	4	1	0	2	0	1	0	5
cav1m17_AQ4-ZINC09310094-0.pdb	21	2	3	1	0	2	0	1	1	4
cav1m17_AQ4-ZINC09322592-0.pdb	11	4	2	3	0	2	0	2	0	3
cav1m17_AQ4-ZINC09334008-0.pdb	25	5	2	0	0	4	0	0	0	5
cav1m17_AQ4-ZINC09357215-0.pdb	8	4	3	0	0	2	0	1	1	2
cav1m17_AQ4-ZINC09360839-0.pdb	19	7	4	1	0	2	0	1	0	5
cav1m17_AQ4-ZINC09405467-0.pdb	19	5	2	1	0	4	0	1	0	4
cav1m17_AQ4-ZINC09406356-0.pdb	20	6	3	1	0	1	0	1	0	5
cav1m17_AQ4-ZINC09421798-0.pdb	17	2	4	2	0	2	0	2	0	4
cav1m17_AQ4-ZINC09430597-0.pdb	22	5	2	1	0	4	0	1	0	5
cav1m17_AQ4-ZINC09435247-0.pdb	17	8	1	1	1	3	0	0	1	4
cav1m17_AQ4-ZINC09439079-0.pdb	22	1	2	1	0	4	0	1	0	4
cav1m17_AQ4-ZINC09505937-0.pdb	16	4	1	1	0	5	0	3	0	4
cav1m17_AQ4-ZINC09508697-0.pdb	22	1	0	2	2	2	0	1	0	5
cav1m17_AQ4-ZINC09560154-0.pdb	20	4	2	1	2	2	0	2	0	5
cav1m17_AQ4-ZINC09610999-0.pdb	19	0	6	0	0	2	0	2	0	6
cav1m17_AQ4-ZINC09631010-0.pdb	16	6	0	2	0	4	0	1	1	3
cav1m17_AQ4-ZINC09631012-0.pdb	16	6	0	2	0	4	0	1	1	3
cav1m17_AQ4-ZINC09631238-0.pdb	16	6	0	3	0	3	0	2	0	3
cav1m17_AQ4-ZINC09639402-0.pdb	16	4	3	2	0	2	0	1	0	5
cav1m17_AQ4-ZINC09663402-0.pdb	19	3	2	1	0	3	0	2	0	4
cav1m17_AQ4-ZINC09672524-0.pdb	18	1	6	2	0	0	0	2	0	5
cav1m17_AQ4-ZINC09691845-0.pdb	17	5	3	2	1	2	0	1	0	4
cav1m17_AQ4-ZINC09700484-0.pdb	19	5	2	2	0	4	0	2	0	4
cav1m17_AQ4-ZINC09724178-0.pdb	16	4	2	0	1	5	0	1	0	4
cav1m17_AQ4-ZINC09743697-0.pdb	15	2	2	1	1	1	0	2	0	4
cav1m17_AQ4-ZINC09793158-0.pdb	8	11	0	4	0	3	0	1	0	2
cav1m17_AQ4-ZINC09801153-0.pdb	13	5	3	2	0	2	0	1	0	4
cav1m17_AQ4-ZINC09819821-0.pdb	19	2	3	1	0	3	0	0	1	5
cav1m17_AQ4-ZINC09831182-0.pdb	20	3	2	1	0	4	0	1	0	4
cav1m17_AQ4-ZINC09866726-0.pdb	21	4	4	0	0	3	0	1	0	5
cav1m17_AQ4-ZINC09877878-0.pdb	19	5	6	0	0	1	0	2	0	5
cav1m17_AQ4-ZINC09886227-0.pdb	15	7	1	3	2	2	0	0	0	4
cav1m17_AQ4-ZINC09933164-0.pdb	18	7	3	1	1	2	0	1	0	5
cav1m17_AQ4-ZINC09943100-0.pdb	11	10	2	4	0	4	0	2	0	3
cav1m17_AQ4-ZINC09991508-0.pdb	20	4	1	1	2	3	0	1	0	5
cav1m17_AQ4-ZINC10127366-0.pdb	15	6	0	0	3	2	0	0	0	4
cav1m17_AQ4-ZINC10144106-0.pdb	12	6	3	2	1	2	0	1	1	3
cav1m17_AQ4-ZINC10167916-0.pdb	13	2	0	3	0	2	0	1	0	3
cav1m17_AQ4-ZINC10232781-0.pdb	20	3	1	2	2	2	0	1	0	5
cav1m17_AQ4-ZINC10255699-0.pdb	18	2	1	1	0	2	0	0	0	4
cav1m17_AQ4-ZINC10383802-0.pdb	15	8	1	0	0	2	0	0	0	4
cav1m17_AQ4-ZINC10494099-0.pdb	18	3	3	0	0	2	0	0	1	4
cav1m17_AQ4-ZINC10555433-0.pdb	17	4	3	1	0	3	0	2	0	4
cav1m17_AQ4-ZINC10611360-0.pdb	17	7	3	2	0	5	0	1	0	4
cav1m17_AQ4-ZINC10735567-0.pdb	12	3	0	2	0	2	0	1	0	4
cav1m17_AQ4-ZINC10754781-0.pdb	19	1	2	1	1	3	0	3	0	5
cav1m17_AQ4-ZINC10810214-0.pdb	12	5	0	3	0	5	0	0	0	2
cav1m17_AQ4-ZINC10818142-0.pdb	16	6	2	1	0	2	0	0	1	3
cav1m17_AQ4-ZINC10891845-0.pdb	11	8	1	2	0	3	0	1	1	2
cav1m17_AQ4-ZINC11034047-0.pdb	11	3	3	1	0	0	0	2	1	3
cav1m17_AQ4-ZINC11068021-0.pdb	13	6	2	2	0	3	0	0	0	5
cav1m17_AQ4-ZINC11068527-0.pdb	12	7	2	2	0	3	0	0	0	4
cav1m17_AQ4-ZINC11112962-0.pdb	12	3	0	3	0	5	0	0	2	2
cav1m17_AQ4-ZINC11121065-0.pdb	16	9	4	1	1	3	0	1	0	4
cav1m17_AQ4-ZINC11254228-0.pdb	18	4	2	2	0	3	0	2	0	5
cav1m17_AQ4-ZINC11297232-0.pdb	12	8	2	2	0	3	0	2	0	3
cav1m17_AQ4-ZINC11307115-0.pdb	6	7	0	3	0	6	0	1	3	1
cav1m17_AQ4-ZINC11427929-0.pdb	15	3	2	1	0	2	0	2	0	4
cav1m17_AQ4-ZINC11591727-0.pdb	16	4	3	2	0	1	0	2	0	4
cav1m17_AQ4-ZINC11603753-0.pdb	20	2	3	1	0	2	0	1	0	5
cav1m17_AQ4-ZINC11718596-0.pdb	16	1	3	0	0	3	0	2	0	4
cav1m17_AQ4-ZINC11730283-0.pdb	17	0	1	1	3	0	0	1	0	5
cav1m17_AQ4-ZINC11838965-0.pdb	19	6	3	1	1	2	0	0	0	4
cav1m17_AQ4-ZINC11842213-0.pdb	25	1	2	1	0	2	0	1	0	6
cav1m17_AQ4-ZINC11854489-0.pdb	17	4	4	1	0	2	0	2	0	4
cav1m17_AQ4-ZINC11854536-0.pdb	11	7	4	1	0	2	0	1	1	3
cav1m17_AQ4-ZINC11866243-0.pdb	19	7	1	0	1	5	0	0	0	4
cav1m17_AQ4-ZINC11898447-0.pdb	19	7	2	2	0	2	0	0	0	4
cav1m17_AQ4-ZINC11898477-0.pdb	19	7	2	2	0	2	0	0	0	4
cav1m17_AQ4-ZINC11898850-0.pdb	16	7	2	2	0	2	0	0	0	3
cav1m17_AQ4-ZINC11913023-0.pdb	23	5	4	0	1	3	0	0	0	5
cav1m17_AQ4-ZINC11916701-0.pdb	20	3	1	2	2	2	0	1	0	5
cav1m17_AQ4-ZINC11944695-0.pdb	17	1	1	1	1	0	0	1	0	4
cav1m17_AQ4-ZINC11950117-0.pdb	22	3	4	1	0	1	0	0	0	5
cav1m17_AQ4-ZINC11971145-0.pdb	19	5	1	2	2	2	0	0	0	4
cav1m17_AQ4-ZINC12001555-0.pdb	22	1	3	0	0	2	0	1	0	5
cav1m17_AQ4-ZINC12039990-0.pdb	21	3	3	0	2	2	0	0	0	5
cav1m17_AQ4-ZINC12047075-0.pdb	15	10	4	1	0	4	0	1	0	4
cav1m17_AQ4-ZINC12053110-0.pdb	24	3	3	1	0	2	0	1	0	5
cav1m17_AQ4-ZINC12151545-0.pdb	16	7	3	1	0	4	0	1	0	4
cav1m17_AQ4-ZINC12174641-0.pdb	12	11	0	2	0	6	0	2	0	3
cav1m17_AQ4-ZINC12183729-0.pdb	22	5	1	1	2	3	0	0	0	6
cav1m17_AQ4-ZINC12186383-0.pdb	16	6	3	1	2	1	0	0	0	4
cav1m17_AQ4-ZINC12186445-0.pdb	20	3	3	1	2	1	0	0	0	5
cav1m17_AQ4-ZINC12195257-0.pdb	22	3	3	1	0	2	0	1	0	6
cav1m17_AQ4-ZINC12195427-0.pdb	16	8	2	1	0	4	0	0	0	3
cav1m17_AQ4-ZINC12208604-0.pdb	19	6	2	1	0	2	0	0	0	4
cav1m17_AQ4-ZINC12246711-0.pdb	18	4	1	1	0	5	0	2	0	4
cav1m17_AQ4-ZINC12321602-0.pdb	20	2	5	1	0	1	0	1	1	5
cav1m17_AQ4-ZINC12325049-0.pdb	16	3	2	2	1	1	0	2	0	4
cav1m17_AQ4-ZINC12325427-0.pdb	15	4	1	2	0	3	0	1	1	3
cav1m17_AQ4-ZINC12325747-0.pdb	19	5	3	1	0	1	0	2	1	5
cav1m17_AQ4-ZINC12342947-0.pdb	12	2	1	4	0	0	0	0	0	3
cav1m17_AQ4-ZINC12347935-0.pdb	15	5	3	2	0	2	0	1	0	3
cav1m17_AQ4-ZINC12348012-0.pdb	20	0	3	0	0	2	0	1	0	5
cav1m17_AQ4-ZINC12361785-0.pdb	17	2	0	1	2	0	0	0	1	4
cav1m17_AQ4-ZINC12371973-0.pdb	17	4	1	4	0	0	0	0	1	4
cav1m17_AQ4-ZINC12372346-0.pdb	15	3	1	2	0	1	0	0	0	4
cav1m17_AQ4-ZINC12401682-0.pdb	15	8	3	2	0	1	0	3	0	4
cav1m17_AQ4-ZINC12419120-0.pdb	14	5	0	2	1	1	0	0	0	3
cav1m17_AQ4-ZINC12437139-0.pdb	14	7	2	1	2	2	0	1	0	4
cav1m17_AQ4-ZINC12467518-0.pdb	12	6	1	2	0	6	0	3	1	3
cav1m17_AQ4-ZINC12475309-0.pdb	15	5	2	1	0	2	0	0	0	3
cav1m17_AQ4-ZINC12478648-0.pdb	21	5	4	0	0	3	0	0	0	5
cav1m17_AQ4-ZINC12484168-0.pdb	22	1	2	1	2	1	0	0	0	5
cav1m17_AQ4-ZINC12485717-0.pdb	19	7	0	3	2	3	0	0	0	5
cav1m17_AQ4-ZINC12487477-0.pdb	11	1	1	3	0	1	0	0	0	3
cav1m17_AQ4-ZINC12496758-0.pdb	23	2	2	0	0	5	0	0	0	6
cav1m17_AQ4-ZINC12497529-0.pdb	21	2	2	0	0	4	0	1	0	6
cav1m17_AQ4-ZINC12498210-0.pdb	18	9	2	0	0	7	0	0	0	4
cav1m17_AQ4-ZINC12498268-0.pdb	23	4	2	0	0	5	0	0	0	6
cav1m17_AQ4-ZINC12499559-0.pdb	17	2	1	2	0	2	0	0	0	4
cav1m17_AQ4-ZINC12524988-0.pdb	20	6	2	2	0	5	0	1	0	4
cav1m17_AQ4-ZINC12551532-0.pdb	15	5	2	2	1	2	0	1	0	4
cav1m17_AQ4-ZINC12599541-0.pdb	14	1	1	4	0	1	0	0	0	3
cav1m17_AQ4-ZINC12603031-0.pdb	20	5	2	1	0	2	0	0	1	6
cav1m17_AQ4-ZINC12637313-0.pdb	23	1	1	1	2	3	0	1	0	6
cav1m17_AQ4-ZINC12641387-0.pdb	19	6	0	3	2	3	0	0	0	5
cav1m17_AQ4-ZINC12645485-0.pdb	14	8	4	0	0	3	0	2	0	4
cav1m17_AQ4-ZINC12661476-0.pdb	22	4	2	0	1	3	0	0	1	5
cav1m17_AQ4-ZINC12707209-0.pdb	15	7	1	3	0	3	0	0	0	3
cav1m17_AQ4-ZINC12754482-0.pdb	18	10	3	1	0	4	0	0	0	4
cav1m17_AQ4-ZINC12765383-0.pdb	12	6	0	3	0	3	0	1	2	2
cav1m17_AQ4-ZINC12797638-0.pdb	19	7	3	1	0	1	0	0	1	4
cav1m17_AQ4-ZINC12809734-0.pdb	12	4	0	2	0	3	0	1	0	2
cav1m17_AQ4-ZINC12850285-0.pdb	12	5	3	1	2	1	0	0	0	5
cav1m17_AQ4-ZINC12850974-0.pdb	20	0	5	0	1	1	0	0	0	8
cav1m17_AQ4-ZINC12866701-0.pdb	22	4	1	1	2	2	0	0	0	5
cav1m17_AQ4-ZINC12870227-0.pdb	15	6	2	2	0	3	0	0	1	3
cav1m17_AQ4-ZINC12872160-0.pdb	18	5	3	1	0	3	0	1	0	4
cav1m17_AQ4-ZINC12882862-0.pdb	16	10	1	1	2	2	0	0	0	4
cav1m17_AQ4-ZINC12885104-0.pdb	27	2	3	0	0	3	0	0	1	7
cav1m17_AQ4-ZINC12932385-0.pdb	14	6	1	2	0	3	0	2	0	4
cav1m17_AQ4-ZINC12946575-0.pdb	18	3	1	2	1	3	0	1	0	4
cav1m17_AQ4-ZINC12965084-0.pdb	15	1	2	1	0	1	0	1	0	3
cav1m17_AQ4-ZINC13000086-0.pdb	20	2	3	1	0	3	0	0	0	4
cav1m17_AQ4-ZINC13007973-0.pdb	19	6	2	2	0	2	0	1	0	4
cav1m17_AQ4-ZINC13031556-0.pdb	16	12	3	2	1	3	0	0	0	4
cav1m17_AQ4-ZINC13036331-0.pdb	20	0	2	0	1	2	0	1	0	5
cav1m17_AQ4-ZINC13039176-0.pdb	17	3	2	2	0	3	0	1	0	3
cav1m17_AQ4-ZINC13040151-0.pdb	12	8	2	1	0	4	0	1	1	3
cav1m17_AQ4-ZINC13064163-0.pdb	20	6	5	1	0	2	0	0	0	6
cav1m17_AQ4-ZINC13065058-0.pdb	21	8	6	1	0	1	0	0	0	5
cav1m17_AQ4-ZINC13076231-0.pdb	15	8	1	2	0	6	0	2	0	3
cav1m17_AQ4-ZINC13096693-0.pdb	21	3	1	1	0	4	0	2	0	5
cav1m17_AQ4-ZINC13108036-0.pdb	22	3	2	1	0	6	0	1	0	4
cav1m17_AQ4-ZINC13123085-0.pdb	6	3	0	3	0	2	0	0	2	1
cav1m17_AQ4-ZINC13128604-0.pdb	18	4	1	3	1	2	0	1	0	4
cav1m17_AQ4-ZINC13142499-0.pdb	14	7	2	1	2	2	0	1	0	4
cav1m17_AQ4-ZINC13149261-0.pdb	18	6	1	1	1	4	0	1	0	4
cav1m17_AQ4-ZINC13150996-0.pdb	9	13	0	3	1	4	0	1	0	3
cav1m17_AQ4-ZINC13151046-0.pdb	14	9	0	3	1	4	0	2	0	3
cav1m17_AQ4-ZINC13281321-0.pdb	11	8	1	2	0	3	0	2	0	3
cav1m17_AQ4-ZINC13365755-0.pdb	14	4	2	2	0	1	0	0	0	4
cav1m17_AQ4-ZINC13372435-0.pdb	13	1	1	1	1	1	0	1	2	3
cav1m17_AQ4-ZINC13467057-0.pdb	17	3	0	3	0	2	0	0	0	4
cav1m17_AQ4-ZINC13476620-0.pdb	16	7	0	4	0	2	0	1	1	3
cav1m17_AQ4-ZINC13496413-0.pdb	20	2	1	2	0	5	0	0	0	4
cav1m17_AQ4-ZINC13498766-0.pdb	20	7	5	1	1	2	0	0	0	5
cav1m17_AQ4-ZINC13501889-0.pdb	15	10	1	3	0	4	0	1	0	3
cav1m17_AQ4-ZINC13501890-0.pdb	15	10	1	3	0	4	0	1	0	3
cav1m17_AQ4-ZINC13502589-0.pdb	14	6	4	2	0	2	0	2	0	5
cav1m17_AQ4-ZINC13503190-0.pdb	10	12	0	3	1	4	0	1	1	2
cav1m17_AQ4-ZINC13503198-0.pdb	20	1	3	0	1	4	0	1	1	4
cav1m17_AQ4-ZINC13548627-0.pdb	10	7	2	3	0	3	0	0	0	2
cav1m17_AQ4-ZINC13559454-0.pdb	16	1	2	1	0	2	0	0	1	4
cav1m17_AQ4-ZINC13598487-0.pdb	19	0	3	1	0	2	0	0	0	6
cav1m17_AQ4-ZINC13607877-0.pdb	22	7	2	2	0	4	0	0	0	4
cav1m17_AQ4-ZINC13640564-0.pdb	19	2	5	1	0	1	0	1	0	7
cav1m17_AQ4-ZINC13651306-0.pdb	14	5	1	1	1	2	0	0	0	3
cav1m17_AQ4-ZINC13691153-0.pdb	18	4	1	2	1	2	0	0	1	4
cav1m17_AQ4-ZINC13702989-0.pdb	10	10	3	1	0	3	0	1	0	3
cav1m17_AQ4-ZINC13720009-0.pdb	18	5	1	2	1	3	0	0	0	4
cav1m17_AQ4-ZINC13723593-0.pdb	15	5	2	2	0	3	0	2	0	4
cav1m17_AQ4-ZINC13729431-0.pdb	23	1	4	1	0	2	0	0	0	6
cav1m17_AQ4-ZINC13770689-0.pdb	15	8	2	2	1	2	0	2	0	4
cav1m17_AQ4-ZINC13801113-0.pdb	16	10	2	3	0	0	0	2	0	4
cav1m17_AQ4-ZINC14001563-0.pdb	16	5	4	0	0	2	0	1	0	4
cav1m17_AQ4-ZINC14003235-0.pdb	12	4	0	4	0	4	0	1	2	2
cav1m17_AQ4-ZINC14015258-0.pdb	19	4	4	1	0	2	0	2	0	5
cav1m17_AQ4-ZINC14038013-0.pdb	12	5	0	3	0	5	0	0	1	2
cav1m17_AQ4-ZINC14126101-0.pdb	18	5	3	1	1	1	0	2	0	5
cav1m17_AQ4-ZINC14129405-0.pdb	17	3	4	1	0	2	0	1	0	4
cav1m17_AQ4-ZINC14151958-0.pdb	13	7	1	2	0	3	0	1	0	3
cav1m17_AQ4-ZINC14184899-0.pdb	22	3	3	0	1	3	0	0	0	6
cav1m17_AQ4-ZINC14185134-0.pdb	16	8	4	1	0	4	0	1	0	4
cav1m17_AQ4-ZINC14253501-0.pdb	18	2	4	0	1	2	0	1	1	5
cav1m17_AQ4-ZINC14359392-0.pdb	12	8	0	3	0	6	0	2	1	2
cav1m17_AQ4-ZINC14456980-0.pdb	18	3	1	0	0	3	0	0	0	4
cav1m17_AQ4-ZINC14458903-0.pdb	18	3	1	0	0	3	0	0	0	4
cav1m17_AQ4-ZINC14475923-0.pdb	17	0	1	1	0	3	0	0	0	5
cav1m17_AQ4-ZINC14478121-0.pdb	18	3	1	2	0	4	0	1	0	4
cav1m17_AQ4-ZINC14482748-0.pdb	16	6	2	1	2	3	0	0	0	4
cav1m17_AQ4-ZINC14511807-0.pdb	21	0	3	0	1	2	0	1	0	6
cav1m17_AQ4-ZINC14525922-0.pdb	18	6	5	1	0	1	0	1	0	5
cav1m17_AQ4-ZINC14531275-0.pdb	17	8	3	0	0	3	0	0	0	4
cav1m17_AQ4-ZINC14543205-0.pdb	17	5	3	1	0	2	0	1	0	4
cav1m17_AQ4-ZINC14549631-0.pdb	17	0	1	1	0	3	0	0	0	5
cav1m17_AQ4-ZINC14551854-0.pdb	18	1	1	1	0	3	0	1	0	4
cav1m17_AQ4-ZINC14719204-0.pdb	20	4	1	1	2	3	0	1	1	6
cav1m17_AQ4-ZINC14720921-0.pdb	9	9	3	2	0	3	0	0	2	2
cav1m17_AQ4-ZINC14749906-0.pdb	19	6	4	1	0	1	0	0	0	5
cav1m17_AQ4-ZINC14780089-0.pdb	18	1	2	1	0	2	0	0	0	5
cav1m17_AQ4-ZINC14829959-0.pdb	25	2	2	1	0	4	0	1	0	6
cav1m17_AQ4-ZINC14856829-0.pdb	20	1	4	0	0	3	0	2	0	6
cav1m17_AQ4-ZINC14878995-0.pdb	22	5	3	0	1	3	0	0	0	5
cav1m17_AQ4-ZINC14880237-0.pdb	22	4	3	1	0	3	0	1	0	6
cav1m17_AQ4-ZINC14889583-0.pdb	22	2	2	1	0	2	0	0	0	5
cav1m17_AQ4-ZINC14961380-0.pdb	19	4	1	2	0	2	0	1	0	4
cav1m17_AQ4-ZINC14979257-0.pdb	23	3	3	1	0	2	0	1	0	5
cav1m17_AQ4-ZINC14991009-0.pdb	21	5	1	1	1	2	0	1	0	5
cav1m17_AQ4-ZINC14993467-0.pdb	22	2	1	1	2	2	0	0	0	5
cav1m17_AQ4-ZINC14998400-0.pdb	16	11	1	2	1	2	0	0	0	3
cav1m17_AQ4-ZINC15022103-0.pdb	13	10	0	3	1	6	0	2	0	3
cav1m17_AQ4-ZINC15033663-0.pdb	17	4	1	2	1	2	0	1	0	4
cav1m17_AQ4-ZINC15069869-0.pdb	17	2	5	0	0	0	0	0	0	6
cav1m17_AQ4-ZINC15085169-0.pdb	17	2	1	0	0	3	0	1	0	4
cav1m17_AQ4-ZINC15085173-0.pdb	17	2	1	0	0	3	0	1	0	4
cav1m17_AQ4-ZINC15087243-0.pdb	16	1	0	2	2	1	0	0	0	6
cav1m17_AQ4-ZINC15134148-0.pdb	19	4	1	4	0	0	0	0	0	4
cav1m17_AQ4-ZINC15162810-0.pdb	17	1	3	1	0	2	0	1	1	4
cav1m17_AQ4-ZINC15203270-0.pdb	10	1	3	1	0	2	0	0	0	4
cav1m17_AQ4-ZINC15226786-0.pdb	9	0	2	2	0	2	0	0	2	2
cav1m17_AQ4-ZINC15245394-0.pdb	18	3	1	2	0	4	0	2	0	4
cav1m17_AQ4-ZINC15247479-0.pdb	15	7	2	0	0	4	0	0	2	3
cav1m17_AQ4-ZINC15275237-0.pdb	16	5	2	2	0	3	0	2	0	4
cav1m17_AQ4-ZINC15329664-0.pdb	12	7	0	3	0	5	0	1	0	2
cav1m17_AQ4-ZINC15342204-0.pdb	10	2	0	3	0	4	0	1	2	2
cav1m17_AQ4-ZINC15423926-0.pdb	9	3	4	1	0	0	0	1	2	3
cav1m17_AQ4-ZINC15482215-0.pdb	18	5	2	2	0	3	0	0	0	4
cav1m17_AQ4-ZINC15629298-0.pdb	10	7	1	2	0	5	0	0	0	2
cav1m17_AQ4-ZINC15670977-0.pdb	21	2	2	2	0	1	0	1	0	5
cav1m17_AQ4-ZINC15680163-0.pdb	18	5	2	1	0	4	0	1	0	3
cav1m17_AQ4-ZINC15722079-0.pdb	24	3	5	0	0	1	0	0	1	5
cav1m17_AQ4-ZINC15730778-0.pdb	20	2	2	1	0	3	0	2	0	4
cav1m17_AQ4-ZINC15731204-0.pdb	23	2	3	0	0	3	0	2	0	5
cav1m17_AQ4-ZINC15782952-0.pdb	17	3	1	2	0	0	0	0	1	3
cav1m17_AQ4-ZINC15844627-0.pdb	13	4	2	3	0	1	0	1	0	3
cav1m17_AQ4-ZINC15859348-0.pdb	23	5	1	1	2	1	0	0	0	5
cav1m17_AQ4-ZINC15867903-0.pdb	15	0	3	0	0	1	0	0	1	3
cav1m17_AQ4-ZINC15942799-0.pdb	19	4	2	1	0	4	0	2	0	4
cav1m17_AQ4-ZINC16013858-0.pdb	10	15	2	3	0	5	0	0	0	2
cav1m17_AQ4-ZINC16022099-0.pdb	13	8	3	0	0	3	0	0	1	4
cav1m17_AQ4-ZINC16043699-0.pdb	24	4	2	2	0	2	0	0	0	7
cav1m17_AQ4-ZINC16208495-0.pdb	20	4	3	1	0	3	0	2	0	5
cav1m17_AQ4-ZINC16231549-0.pdb	15	8	2	2	1	3	0	0	0	4
cav1m17_AQ4-ZINC16232065-0.pdb	12	5	0	4	0	3	0	2	0	2
cav1m17_AQ4-ZINC16232110-0.pdb	12	5	0	4	0	3	0	2	0	2
cav1m17_AQ4-ZINC16247577-0.pdb	21	2	3	1	0	3	0	2	0	5
cav1m17_AQ4-ZINC16284167-0.pdb	11	3	2	1	0	1	0	0	0	4
cav1m17_AQ4-ZINC16322730-0.pdb	11	6	0	3	1	0	0	0	2	2
cav1m17_AQ4-ZINC16335628-0.pdb	17	3	5	1	0	3	0	2	0	5
cav1m17_AQ4-ZINC16384144-0.pdb	12	2	0	4	0	3	0	1	0	2
cav1m17_AQ4-ZINC16433215-0.pdb	14	11	2	3	0	2	0	0	0	4
cav1m17_AQ4-ZINC16484091-0.pdb	12	5	0	2	0	2	0	1	0	2
cav1m17_AQ4-ZINC16571480-0.pdb	8	11	2	2	0	2	0	1	1	2
cav1m17_AQ4-ZINC16605229-0.pdb	18	7	3	1	0	1	0	1	0	4
cav1m17_AQ4-ZINC16607988-0.pdb	16	5	3	1	0	1	0	0	0	4
cav1m17_AQ4-ZINC16676617-0.pdb	15	2	1	1	0	5	0	2	2	3
cav1m17_AQ4-ZINC16774869-0.pdb	16	4	3	1	0	2	0	1	0	4
cav1m17_AQ4-ZINC16792316-0.pdb	14	3	4	1	1	1	0	1	0	5
cav1m17_AQ4-ZINC16804781-0.pdb	14	2	2	2	0	3	0	3	1	3
cav1m17_AQ4-ZINC16809106-0.pdb	14	9	2	1	0	5	0	2	0	4
cav1m17_AQ4-ZINC16951681-0.pdb	18	4	1	0	0	2	0	0	0	5
cav1m17_AQ4-ZINC16956948-0.pdb	17	2	3	1	0	2	0	0	1	4
cav1m17_AQ4-ZINC17012018-0.pdb	20	2	4	1	0	2	0	2	0	5
cav1m17_AQ4-ZINC17074335-0.pdb	11	3	1	2	0	2	0	0	3	3
cav1m17_AQ4-ZINC17089039-0.pdb	16	1	0	3	1	3	0	0	1	4
cav1m17_AQ4-ZINC17096685-0.pdb	16	3	2	3	2	1	0	1	1	4
cav1m17_AQ4-ZINC17157288-0.pdb	21	4	1	2	0	4	0	1	0	5
cav1m17_AQ4-ZINC17160949-0.pdb	13	8	4	2	0	4	0	2	0	4
cav1m17_AQ4-ZINC17304331-0.pdb	12	3	2	3	0	3	0	0	0	4
cav1m17_AQ4-ZINC17315218-0.pdb	15	7	2	1	0	0	0	0	1	3
cav1m17_AQ4-ZINC17316868-0.pdb	17	8	4	1	0	2	0	1	0	4
cav1m17_AQ4-ZINC17721002-0.pdb	20	6	2	2	1	5	0	0	0	4
cav1m17_AQ4-ZINC17794237-0.pdb	19	3	2	2	0	5	0	1	0	4
cav1m17_AQ4-ZINC17969648-0.pdb	16	2	1	3	0	2	0	1	3	3
